#Site	Status	Area	Rep	Snails	Snail Biomass	Juvenile Fiddler Crabs	JFC Biomass	Adult Fiddler Crabs	AFC Biomass	Mussels	Mussel Recruits	Mussel Biomass	Mud Crabs	Mud Crab Biomass	Sesarma	Sesarma Biomass	InvertBiomass	Proportion Sesarma
JI	Ungrazed	Border	6	3	0.039	22	0.44	3	0.33	10	0	5.5	2	0.9	0	0	7.209	0
JI	Ungrazed	Border	7	0	0	15	0.3	5	0.55	14	1	8.25	1	0.45	0	0	9.55	0
JI	Ungrazed	Border	8	5	0.065	20	0.4	4	0.44	8	0	4.4	0	0	0	0	5.305	0
LS	Ungrazed	Border	1	6	0.078	15	0.3	3	0.33	21	1	12.1	3	1.35	0	0	14.158	0
LS	Ungrazed	Border	2	0	0	20	0.4	3	0.33	14	0	7.7	2	0.9	0	0	9.33	0
LS	Ungrazed	Border	3	0	0	10	0.2	3	0.33	48	2	27.5	3	1.35	0	0	29.38	0
LS	Ungrazed	Border	4	0	0	12	0.24	4	0.44	28	1	15.95	3	1.35	0	0	17.98	0
LS	Ungrazed	Border	5	0	0	7	0.14	3	0.33	8	0	4.4	1	0.45	0	0	5.32	0
LS	Ungrazed	Border	6	5	0.065	18	0.36	2	0.22	13	1	7.7	2	0.9	0	0	9.245	0
LS	Ungrazed	Border	7	3	0.039	12	0.24	3	0.33	10	0	5.5	1	0.45	0	0	6.559	0
LS	Ungrazed	Border	8	2	0.026	20	0.4	4	0.44	8	0	4.4	2	0.9	1	0.24	6.406	0.037
PL	Ungrazed	Border	1	0	0	17	0.34	1	0.11	26	2	15.4	1	0.45	0	0	16.3	0
PL	Ungrazed	Border	2	0	0	12	0.24	0	0	21	2	12.65	2	0.9	0	0	13.79	0
PL	Ungrazed	Border	3	0	0	9	0.18	1	0.11	8	0	4.4	1	0.45	0	0	5.14	0
PL	Ungrazed	Border	4	0	0	20	0.4	2	0.22	6	0	3.3	1	0.45	0	0	4.37	0
PL	Ungrazed	Border	5	0	0	14	0.28	3	0.33	23	1	13.2	1	0.45	0	0	14.26	0
PL	Ungrazed	Border	6	1	0.013	13	0.26	2	0.22	41	3	24.2	1	0.45	0	0	25.143	0
PL	Ungrazed	Border	7	0	0	13	0.26	2	0.22	33	3	19.8	2	0.9	0	0	21.18	0
PL	Ungrazed	Border	8	2	0.026	7	0.14	1	0.11	13	1	7.7	1	0.45	0	0	8.426	0
SS	Ungrazed	Border	1	3	0.039	30	0.6	4	0.44	32	2	18.7	3	1.35	0	0	21.129	0
SS	Ungrazed	Border	2	2	0.026	28	0.56	3	0.33	48	4	28.6	3	1.35	0	0	30.866	0
SS	Ungrazed	Border	3	0	0	26	0.52	7	0.77	19	1	11	2	0.9	0	0	13.19	0
SS	Ungrazed	Border	4	4	0.052	32	0.64	3	0.33	9	0	4.95	2	0.9	0	0	6.872	0
SS	Ungrazed	Border	5	1	0.013	24	0.48	2	0.22	27	2	15.95	1	0.45	0	0	17.113	0
SS	Ungrazed	Border	6	4	0.052	16	0.32	5	0.55	21	3	13.2	4	1.8	0	0	15.922	0
SS	Ungrazed	Border	7	3	0.039	34	0.68	3	0.33	18	1	10.45	2	0.9	0	0	12.399	0
SS	Ungrazed	Border	8	0	0	12	0.24	2	0.22	12	0	6.6	2	0.9	0	0	7.96	0
AM	Ungrazed	Platform	1	72	0.936	6	0.12	1	0.11	0	0	0	0	0	0	0	1.166	0
AM	Ungrazed	Platform	2	61	0.793	0	0	0	0	3	0	1.65	2	0.9	0	0	3.343	0
AM	Ungrazed	Platform	3	58	0.754	0	0	0	0	0	0	0	2	0.9	0	0	1.654	0
AM	Ungrazed	Platform	4	55	0.715	0	0	0	0	0	0	0	0	0	0	0	0.715	0
AM	Ungrazed	Platform	5	34	0.442	0	0	0	0	0	0	0	0	0	0	0	0.442	0
AM	Ungrazed	Platform	6	39	0.507	1	0.02	0	0	0	0	0	0	0	0	0	0.527	0
AM	Ungrazed	Platform	7	35	0.455	0	0	0	0	0	0	0	0	0	0	0	0.455	0
AM	Ungrazed	Platform	8	50	0.65	0	0	0	0	0	0	0	0	0	0	0	0.65	0
BF	Ungrazed	Platform	1	6	0.078	10	0.2	3	0.33	8	0	4.4	2	0.9	0	0	5.908	0
BF	Ungrazed	Platform	2	4	0.052	0	0	1	0.11	4	0	2.2	1	0.45	0	0	2.812	0
BF	Ungrazed	Platform	3	13	0.169	10	0.2	2	0.22	8	0	4.4	2	0.9	0	0	5.889	0
BF	Ungrazed	Platform	4	10	0.13	1	0.02	1	0.11	0	0	0	3	1.35	0	0	1.61	0
BF	Ungrazed	Platform	5	13	0.169	1	0.02	2	0.22	0	0	0	2	0.9	0	0	1.309	0
BF	Ungrazed	Platform	6	8	0.104	15	0.3	3	0.33	3	0	1.65	2	0.9	0	0	3.284	0
BF	Ungrazed	Platform	7	14	0.182	7	0.14	4	0.44	6	0	3.3	1	0.45	0	0	4.512	0
BF	Ungrazed	Platform	8	7	0.091	2	0.04	2	0.22	10	0	5.5	1	0.45	0	0	6.301	0
BL	Ungrazed	Platform	1	14	0.182	6	0.12	3	0.33	6	0	3.3	1	0.45	0	0	4.382	0
BL	Ungrazed	Platform	2	12	0.156	5	0.1	2	0.22	0	0	0	1	0.45	0	0	0.926	0
BL	Ungrazed	Platform	3	18	0.234	8	0.16	1	0.11	10	0	5.5	2	0.9	0	0	6.904	0
BL	Ungrazed	Platform	4	12	0.156	3	0.06	1	0.11	8	0	4.4	1	0.45	0	0	5.176	0
BL	Ungrazed	Platform	5	21	0.273	5	0.1	2	0.22	0	0	0	1	0.45	0	0	1.043	0
BL	Ungrazed	Platform	6	12	0.156	4	0.08	3	0.33	14	1	8.25	0	0	0	0	8.816	0
BL	Ungrazed	Platform	7	25	0.325	3	0.06	2	0.22	5	0	2.75	1	0.45	0	0	3.805	0
BL	Ungrazed	Platform	8	14	0.182	8	0.16	2	0.22	13	0	7.15	1	0.45	0	0	8.162	0
BR	Ungrazed	Platform	1	34	0.442	4	0.08	0	0	0	0	0	2	0.9	0	0	1.422	0
BR	Ungrazed	Platform	2	32	0.416	5	0.1	1	0.11	8	0	4.4	1	0.45	0	0	5.476	0
BR	Ungrazed	Platform	3	33	0.429	11	0.22	1	0.11	15	2	9.35	1	0.45	0	0	10.559	0
BR	Ungrazed	Platform	4	25	0.325	8	0.16	2	0.22	8	1	4.95	2	0.9	0	0	6.555	0
BR	Ungrazed	Platform	5	20	0.26	4	0.08	2	0.22	0	0	0	0	0	0	0	0.56	0
BR	Ungrazed	Platform	6	28	0.364	6	0.12	3	0.33	11	1	6.6	2	0.9	0	0	8.314	0
BR	Ungrazed	Platform	7	18	0.234	10	0.2	4	0.44	0	0	0	1	0.45	0	0	1.324	0
BR	Ungrazed	Platform	8	27	0.351	13	0.26	2	0.22	0	0	0	0	0	0	0	0.831	0
BW	Ungrazed	Platform	1	25	0.325	2	0.04	3	0.33	3	0	1.65	0	0	0	0	2.345	0
